State,City,City_Inactive_Date,City_AddTime
CA,ACAMPO,,2018-01-01
CA,ACTON,,2018-01-01
CA,ADELANTO,,2018-01-01
CA,ADIN,,2018-01-01
CA,AGOURA HILLS,,2018-01-01
CA,AGUANGA,,2018-01-01
CA,AHWAHNEE,,2018-01-01
CA,ALAMEDA,,2018-01-01
CA,ALAMO,,2018-01-01
CA,ALBANY,,2018-01-01
CA,ALBION,,2018-01-01
CA,ALDERPOINT,,2018-01-01
CA,ALHAMBRA,,2018-01-01
CA,ALISO VIEJO,,2018-01-01
CA,ALLEGHANY,,2018-01-01
CA,ALPAUGH,,2018-01-01
CA,ALPINE,,2018-01-01
CA,ALTA,,2018-01-01
CA,ALTADENA,,2018-01-01
CA,ALTAVILLE,,2018-01-01
CA,ALTURAS,,2018-01-01
CA,ALVISO,,2018-01-01
CA,AMADOR CITY,,2018-01-01
CA,AMBOY,,2018-01-01
CA,AMERICAN CANYON,,2018-01-01
CA,ANAHEIM,,2018-01-01
CA,ANDERSON,,2018-01-01
CA,ANGELS CAMP,,2018-01-01
CA,ANGELUS OAKS,,2018-01-01
CA,ANGWIN,,2018-01-01
CA,ANNAPOLIS,,2018-01-01
CA,ANTELOPE,,2018-01-01
CA,ANTIOCH,,2018-01-01
CA,ANZA,,2018-01-01
CA,APPLE VALLEY,,2018-01-01
CA,APPLEGATE,,2018-01-01
CA,APTOS,,2018-01-01
CA,ARBUCKLE,,2018-01-01
CA,ARCADIA,,2018-01-01
CA,ARCATA,,2018-01-01
CA,ARMONA,,2018-01-01
CA,ARNOLD,,2018-01-01
CA,AROMAS,,2018-01-01
CA,ARROYO GRANDE,,2018-01-01
CA,ARTESIA,,2018-01-01
CA,ARTOIS,,2018-01-01
CA,ARVIN,,2018-01-01
CA,ATASCADERO,,2018-01-01
CA,ATHERTON,,2018-01-01
CA,ATWATER,,2018-01-01
CA,ATWOOD,,2018-01-01
CA,AUBERRY,,2018-01-01
CA,AUBURN,,2018-01-01
CA,AVALON,,2018-01-01
CA,AVENAL,,2018-01-01
CA,AVERY,,2018-01-01
CA,AVILA BEACH,,2018-01-01
CA,AZUSA,,2018-01-01
CA,BADGER,,2018-01-01
CA,BAKER,,2018-01-01
CA,BAKERSFIELD,,2018-01-01
CA,BALDWIN PARK,,2018-01-01
CA,BALLICO,,2018-01-01
CA,BANGOR,,2018-01-01
CA,BANNING,,2018-01-01
CA,BARD,,2018-01-01
CA,BARSTOW,,2018-01-01
CA,BASS LAKE,,2018-01-01
CA,BAYSIDE,,2018-01-01
CA,BEALE AFB,,2018-01-01
CA,BEAUMONT,,2018-01-01
CA,BECKWOURTH,,2018-01-01
CA,BELDEN,,2018-01-01
CA,BELL,,2018-01-01
CA,BELL GARDENS,,2018-01-01
CA,BELLA VISTA,,2018-01-01
CA,BELLFLOWER,,2018-01-01
CA,BELMONT,,2018-01-01
CA,BELVEDERE TIBURON,,2018-01-01
CA,BEN LOMOND,,2018-01-01
CA,BENICIA,,2018-01-01
CA,BENTON,,2018-01-01
CA,BERKELEY,,2018-01-01
CA,BERRY CREEK,,2018-01-01
CA,BETHEL ISLAND,,2018-01-01
CA,BEVERLY HILLS,,2018-01-01
CA,BIEBER,,2018-01-01
CA,BIG BAR,,2018-01-01
