Offense Validation CD,Offense Code,Offense Txn Type CD,Offense Statute,Offense Type of Statute CD,Statute Literal 25,Offense Default Type of Charge,Offense Type of Charge,Offense Literal Identifier CD,Offense Degree,BCS Hierarchy CD,Offense Enacted,Offense Repealed,ALPS Cognizant CD,Add_Date Time
2,3,1,00IN CUSTODY AR,ZZ,IN CUSTODY ARREST,0,X,0,0,0,1800-01-01,,*,2018-01-01
2,1004,1,37,PC,TREASON,0,F,0,0,1000,1872-01-01,,*,2018-01-01
1,1005,1,38,PC,MISPRISION OF TREASON,0,F,0,0,36200,1872-01-01,,*,2018-01-01
1,1009,1,37(A),PC,TREASON,0,F,0,0,1000,1990-01-01,,*,2018-01-01
2,2052,1,10 885,US,DESERTION,N,F,0,0,178900,1956-08-10,,*,2018-01-01
2,2053,1,10 886,US,AWOL:ABSENT PLACE OF DUTY,N,X,0,0,179200,1956-08-10,,*,2018-01-01
1,3004,1,173,PC,IMPORT FOREIGN CONVICTS,0,M,0,0,143400,1872-01-01,,*,2018-01-01
1,3052,1,8 1325,US,ILLEGAL ENTRY,N,F,0,0,178800,1970-01-01,,*,2018-01-01
1,3055,1,8 1324,US,ILLEGAL TRANSPORT ALIENS,N,F,0,0,178800,1970-01-01,,*,2018-01-01
1,3056,1,8 1326,US,RE-ENTRY DEPORTED ALIEN,N,F,0,0,178800,1970-01-01,,*,2018-01-01
1,3059,1,8 1251,US,DEPORTATION PROCEEDINGS,N,F,0,0,178800,1970-01-01,,*,2018-01-01
1,3065,1,8 1304,US,FAIL CARRY ALIEN REG CERT,N,M,0,0,178800,1952-06-27,,*,2018-01-01
2,3067,1,8 1227,US,DEPORTABLE ALIENS,N,F,0,0,179000,2001-01-02,,*,2018-01-01
1,4008,1,18 1361,US,DAMAGE U.S. PROPERTY,N,F,0,0,179000,1948-06-25,,*,2018-01-01
2,4009,1,31 5316,US,RPT:IM/EXPORT:MONEY TRANS,N,F,0,0,179000,1982-09-13,,*,2018-01-01
2,4010,1,36 261.6(H),US,FED REG:REMOVE TIMBER/ETC,N,M,0,0,179200,1977-07-13,,*,2018-01-01
2,4011,1,18 1951(A),US,INTERFERE COMMERCE:THREAT,N,F,0,0,179000,1948-06-24,,*,2018-01-01
1,4012,1,36 261.10(E),US,FR:ABANDN PROP:NAT FOREST,N,M,0,0,179200,1977-01-14,,*,2018-01-01
2,4013,1,36 261.10(B),US,FR:LIVE/ETC FOREST:NO OK,N,M,0,0,179200,1977-01-14,,*,2018-01-01
2,4014,1,37 503(A),US,AWOL:SERVICES,N,X,0,0,178900,1962-09-17,,*,2018-01-01
2,4015,1,42 3631,US,INTRFR/ETC FAIR HOUSE RT,N,F,0,0,179200,1994-09-13,,*,2018-01-01
2,4016,1,42 3631,US,INTRFR/ETC:FAIR HOUSE RTS,N,M,0,0,179200,1994-09-13,,*,2018-01-01
2,4017,1,18 33,US,DEST MOTOR VECHICLE/ETC,N,F,0,0,179000,1956-07-14,,*,2018-01-01
2,4018,1,36 2.1(A)(6),US,FR:POSS/ETC:ARCH RESOURCE,N,M,0,0,179200,1983-06-30,,*,2018-01-01
2,4019,1,36 2.4(F),US,FR:POSS/ETC WPN/TRAP/ETC,N,M,0,0,179200,1983-06-30,,*,2018-01-01
2,4020,1,36 2.30(A)(3),US,FR:OBT PROP/ETC BY FRAUD,N,M,0,0,179200,1983-06-30,,*,2018-01-01
2,4021,1,36 2.30(A)(5),US,FR:POSS KNOW STOLEN PROP,N,M,0,0,179200,1983-06-30,,*,2018-01-01
2,4022,1,36 2.31(A)(1),US,FR:TRESP:ENTER/ETC PROP,N,M,0,0,179200,1983-06-30,,*,2018-01-01
2,4023,1,36 2.32(A)(2),US,FR:VIOLATE LAWFUL ORDER,N,M,0,0,179200,1983-06-30,,*,2018-01-01
2,4024,1,36 2.32(A)(3)(I,US,FR:FALSE INFO/AUTH PERSON,N,M,0,0,179200,1983-06-30,,*,2018-01-01
2,4025,1,36 3.6(B),US,FR:OPR VESSEL:UND INF D/A,N,M,0,0,179200,1983-06-30,,*,2018-01-01
2,4026,1,36 4.23(A)(1),US,FR:OPR VEHICLE UNDER INF,N,M,0,0,179200,1983-06-30,,*,2018-01-01
2,4027,1,36 4.23(A)(2),US,FR:DUI:BLOOD/ETC ALC.08,N,M,0,0,179200,1983-06-30,,*,2018-01-01
